"Guid","Name","SBQQ__BorderColor__c","SBQQ__BottomMargin__c","SBQQ__ColumnHeaderHidden__c","SBQQ__ConditionalPrintField__c","SBQQ__Content__c","SBQQ__DisplayOrder__c","SBQQ__FilterField__c","SBQQ__FilterOperator__c","SBQQ__FilterValue__c","SBQQ__GroupField__c","SBQQ__KeepTogether__c","SBQQ__KeepWithNext__c","SBQQ__KeepWithPrevious__c","SBQQ__PageBreak__c","SBQQ__QuoteTotalsPrinted__c","SBQQ__RollUpField__c","SBQQ__SummaryDisplay__c","SBQQ__Template__c","SBQQ__TopMargin__c"
445d6a63-a8ea-4ea7-9e56-c466edfabb7c,Top,"#N/A",0.0,false,"#N/A",e135695d-c8bf-44cf-a821-f64b7892c70f,10.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",a4621500-c6de-46f8-9e85-4e5f48256a72,0.0
4ba07acd-c56e-46b5-a479-8fc961f6b493,Lines,"#N/A",0.0,false,"#N/A",c8e739ab-f212-48f6-bbfa-ebccebdb01b1,20.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",a4621500-c6de-46f8-9e85-4e5f48256a72,0.0
a73b1052-c5b4-499d-acb8-94834db6ba7b,Bottom,"#N/A",0.0,false,"#N/A",f42127b4-63d6-48fe-ade3-a6fe3ed3feca,30.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",a4621500-c6de-46f8-9e85-4e5f48256a72,0.0
