"Guid","SBQQ__FilterField__c","SBQQ__FilterValue__c","SBQQ__Operator__c","SBQQ__Required__c","SBQQ__Rule__c","SBQQ__Type__c","SBQQ__ValueAttribute__c","SBQQ__ValueField__c","SBQQ__ValueObject__c"
0cd373e1-c5d4-4a88-8dcc-0cc3874aa86a,"#N/A","#N/A","#N/A",false,f508ddce-77cf-41d9-be1e-19d7212e6bcd,Add,"#N/A","#N/A","#N/A"
922ab83d-a843-4c47-87df-9806c13e0f22,"#N/A","#N/A","#N/A",false,f508ddce-77cf-41d9-be1e-19d7212e6bcd,Add,"#N/A","#N/A","#N/A"
b284ba7b-1b33-4ea9-9b14-f6309ea37f24,"#N/A","#N/A","#N/A",false,f508ddce-77cf-41d9-be1e-19d7212e6bcd,Remove,"#N/A","#N/A","#N/A"
f84277c5-1597-4ec0-bb6a-2f8fa4635550,"#N/A","#N/A","#N/A",false,f508ddce-77cf-41d9-be1e-19d7212e6bcd,Enable,"#N/A","#N/A","#N/A"
