"Guid","SBQQ__IsRead__c","SBQQ__JobDetails__c","SBQQ__JobId__c","SBQQ__JobStatus__c","SBQQ__RecordId__c","SBQQ__RedirectUrl__c","SBQQ__Stacktrace__c"
20100b5c-da77-45a1-aed5-c5d87655882d,false,"#N/A",707Dn00000cJ4lW,Completed,a344x0000000vWHAAY::QuoteCalculator,"#N/A","#N/A"
48dc05d8-8143-4a28-8e07-40e794912609,false,"#N/A",707Dn00000cJ4lV,Completed,a344x0000000vWCAAY::QuoteCalculator,"#N/A","#N/A"
582eff00-482b-4b75-ba03-c10c122fdc38,false,"#N/A","#N/A",Completed,a344x0000000vW7AAI::QuoteCalculator,"#N/A","#N/A"
588ea6d6-8197-420d-a703-e2b7648cc756,false,"#N/A",707Dn00000cJ4lU,"#N/A",a344x0000000vMeAAI::QuoteCalculator,"#N/A","#N/A"
a060d4f1-0195-4412-b858-1989b7bb5dc9,false,"#N/A","#N/A",Completed,a344x0000000vWRAAY::QuoteCalculator,"#N/A","#N/A"
b15c8945-b8da-4257-a1bd-eb2a82b750aa,false,"#N/A","#N/A",Completed,a344x0000000vWMAAY::QuoteCalculator,"#N/A","#N/A"
de01b428-bb45-437a-be4e-a9827efed1a1,false,"#N/A",707Dn00000cJ4lX,"#N/A",a344x0000000vWWAAY::QuoteCalculator,"#N/A","#N/A"
ff2a5ded-cc35-40e8-9879-333ffda7108a,true,"#N/A",707Dn00000cEwYu,"#N/A",a344x0000000vW7AAI::QuoteDocumentService,"#N/A","#N/A"
