"Guid","SBQQ__FilterType__c","SBQQ__FilterValue__c","SBQQ__FilterVariable__c","SBQQ__Index__c","SBQQ__Operator__c","SBQQ__Rule__c","SBQQ__TestedAttribute__c","SBQQ__TestedField__c","SBQQ__TestedObject__c","SBQQ__TestedVariable__c"
b44972f7-87ba-412e-ba58-4d3e433a0a3e,Variable,"#N/A",94f5ad9d-1581-45e7-b877-223347fb4d5e,"#N/A",less than,f508ddce-77cf-41d9-be1e-19d7212e6bcd,"#N/A",Group Line Items,Quote,"#N/A"
f8037f83-fc80-4e89-92be-164e0eb9dd26,Value,5,"#N/A","#N/A",less than,f508ddce-77cf-41d9-be1e-19d7212e6bcd,"#N/A",Unit Price,Product Option,"#N/A"
